Event_Title,Date,Time,Venue,Address,url,Latitude,Longitude,Category
The Pearlies Live @ Bergy Bandroom,2025-07-03,19:00,Bergy Bandroom,"64 Sydney Rd, Brunswick VIC 3056, Australia",https://www.facebook.com/events/536381359185296/,-37.776327,144.9607158,Music
Non Profit Governance Training - Melbourne - July 2025,2025-07-03,10:00,Melbourne,"Online Melbourne, VIC 3000",https://www.eventbrite.com.au/e/non-profit-governance-training-melbourne-july-2025-registration-1349449221949?aff=ebdssbdestsearch,-37.8152065,144.963937,Talks/Workshops
Brighton Beach Boxes at Night -  Easy 6km,2025-07-03,18:20,Brighton Beach Station Car Park,"1 Esplanade Brighton, VIC 3186Get directions",https://www.eventbrite.com.au/e/brighton-beach-boxes-at-night-easy-6km-tickets-1400885709869?aff=ebdssbdestsearch,-37.9269127,144.9883969,Sport
Networking Event (VIC) Food & Bev Market Update,2025-07-03,18:00,The Mission to Seafarers Victoria,"717 Flinders Street Docklands, VIC 3005",https://www.eventbrite.com.au/e/networking-event-vic-food-bev-market-update-tickets-1351375864589?aff=ebdssbdestsearch,-37.8225172,144.951249,Business/Networking
DBSC - SB-01 Pre-Release - Gameology BRUNSWICK - 03/07/2025,2025-07-03,06:30,Gameology Brunswick,"36 Hope Street Brunswick, VIC 3056Get directions",https://www.eventbrite.com.au/e/dbsc-sb-01-pre-release-gameology-brunswick-03072025-tickets-1414488766979?aff=ebdssbdestsearch,-37.7638098,144.9595269,Games
Mousse Cannon Single Launch w/ LXRP + Special Guest,2025-07-03,19:00,280 Sydney Rd,"280 Sydney Road Brunswick, VIC 3056Get directions",https://www.eventbrite.com.au/e/mousse-cannon-single-launch-w-lxrp-special-guest-tickets-1398154721409?aff=ebdssbdestsearch,-37.7711488,144.9616353,Music
"July 3 | Singles Mingles – Wine, Connection & Conversation  Ruelle Wine Bar",2025-07-03,19:00,Ruelle Wine Bar,"30 Chatham Street Prahran, VIC 3181",https://www.eventbrite.com.au/e/july-3-singles-mingles-wine-connection-conversation-ruelle-wine-bar-tickets-1414988200799?aff=ebdssbdestsearch,-37.8491103,144.9932617,Social/Dating
Midpoint (Thur 7:30pm),2025-07-03,19:30,Transit Dance (Brunswick),"64 Dawson Street Brunswick, VIC 3056Get directions",https://www.eventbrite.com.au/e/midpoint-thur-730pm-tickets-1368147358579?aff=ebdssbdestsearch,-37.7701752,144.9559255,Theatre
Intersectional Practice,2025-07-03,09:30,100 Drummond St,"100 Drummond Street Carlton, VIC 3053",https://www.eventbrite.com.au/e/intersectional-practice-tickets-1252544356889?aff=ebdssbdestsearch,-37.8043894,144.9681606,Talks/Workshops
"Victoria University Charity Dinner, July 2025",2025-07-03,18:00,Victoria University: VenU Restaurant - Footscray Nicholson Campus,"238A Nicholson Street Footscray, VIC 3011Get directions",https://www.eventbrite.com.au/e/victoria-university-charity-dinner-july-2025-tickets-1373979653129?aff=ebdssbdestsearch,-37.8048316,144.8982238,Unknown
July 3rd | Serves & Sparks:  A Pickleball Social for Singles 23-33 & 30-40,2025-07-03,18:00,PicklePlay Indoor Pickleball,"1 South Drive Bentleigh East, VIC 3165Get directions",https://www.eventbrite.com.au/e/july-3rd-serves-sparks-a-pickleball-social-for-singles-23-33-30-40-tickets-1422874157909?aff=ebdssbdestsearch,-37.9106715,145.0613664,Social/Dating
Somewhere Sober - With Geraldine Hickey,2025-07-03,05:30,75 Reid St,"75 Reid Street Fitzroy North, VIC 3068Get directions",https://www.eventbrite.com.au/e/somewhere-sober-with-geraldine-hickey-tickets-1365097737079?aff=ebdssbdestsearch,-37.7853324,144.9807648,Comedy
Sip and Paint in Melbourne: Vase with Irises by Van Gogh,2025-07-03,18:30,Ladder Art Space,"4/81 Denmark St Kew, VIC 3101Get directions",https://www.eventbrite.com.au/e/sip-and-paint-in-melbourne-vase-with-irises-by-van-gogh-tickets-106621662262?aff=ebdssbdestsearch,-37.8089958,145.0285779,Art
Saluhan Presents: Macho Dancer (1988) dir. Lino Brocka,2025-07-03,17:30,69 Capel St,"69 Capel Street West Melbourne, VIC 3003Get directions",https://www.eventbrite.com/e/saluhan-presents-macho-dancer-1988-dir-lino-brocka-tickets-1414891310999?aff=ebdssbdestsearch,-37.8065292,144.9547461,Cinema
BNI Innovation - Weekly Networking Breakfast,2025-07-03,07:30,West Brighton Club,"22 Park Street Brighton, VIC 3186",https://www.eventbrite.com.au/e/bni-innovation-weekly-networking-breakfast-tickets-576604699177?aff=ebdssbdestsearch,-37.9134388,144.9892288,Business/Networking
BNI Prestige - Weekly Networking,2025-07-03,06:45,Royal Brighton Yacht Club,"253 Esplanade Brighton, VIC 3186Get directions",https://www.eventbrite.com.au/e/bni-prestige-weekly-networking-tickets-590875974947?aff=ebdssbdestsearch,-37.9171926,144.9870773,Business/Networking
Yin in an Art Gallery,2025-07-03,17:00,Artful Yoga Gallery,"1 Vale Street St Kilda, VIC 3182Get directions",https://www.eventbrite.com.au/e/yin-in-an-art-gallery-tickets-1301627897079?aff=ebdssbdestsearch,-37.8661713,144.9817611,Talks/Workshops
Fresh Networking Narre Warren - Guest Registration,2025-07-03,07:45,Butlers Kitchen,"55 Victor Crescent Narre Warren, VIC 3805Get directions",https://www.eventbrite.com.au/e/fresh-networking-narre-warren-guest-registration-tickets-105203995984?aff=ebdssbdestsearch,-38.02240949999999,145.3121143,Business/Networking
DRAW/ME/YOU,2025-07-03,19:00,221 High St,"221 High Street Preston, VIC 3072",https://www.eventbrite.com.au/e/drawmeyou-tickets-1349257658979?aff=ebdssbdestsearch,-37.74535590000001,145.0025696,Art
Lesbian Speed Dating | Melbourne Singles Event | Fancy a Go?,2025-07-03,19:00,The Metropolitan Hotel,"265 William Street Melbourne, VIC 3000Get directions",https://www.eventbrite.com/e/lesbian-speed-dating-melbourne-singles-event-fancy-a-go-tickets-1393091968579?aff=ebdssbdestsearch,-37.812902,144.9566615,Social/Dating
Slow Dating | Ages 25-40 | Single Professionals | Melbourne | Offline Cupid,2025-07-03,19:00,Paradise Alley,"25 Easey Street Collingwood, VIC 3066Get directions",https://www.eventbrite.com.au/e/slow-dating-ages-25-40-single-professionals-melbourne-offline-cupid-registration-1409719672489?aff=ebdssbdestsearch,-37.7979148,144.9860106,Social/Dating
FRENCH DINNER WITH SAKE BREWERY,2025-07-03,19:00,Philippe,"115 Collins Street Melbourne, VIC 3000",https://www.eventbrite.com.au/e/french-dinner-with-sake-brewery-tickets-1400910363609?aff=ebdssbdestsearch,-37.8147295,144.9700165,Talks/Workshops
Alicia Komaki Youth Girls Skills Clinic,2025-07-03,09:00,Melbourne Sports & Aquatic Centre,"30 Aughtie Dr Albert Park, VIC 3206",https://www.eventbrite.com.au/e/alicia-komaki-youth-girls-skills-clinic-tickets-1413183994369?aff=ebdssbdestsearch,-37.8433729,144.9613557,Sport
Baby Safe Program: Safe Sleeping Small Group Class 2025,2025-07-03,18:45,Prahran High School,"138 High Street Windsor, VIC 3181",https://www.eventbrite.com.au/e/baby-safe-program-safe-sleeping-small-group-class-2025-tickets-1095722799389?aff=ebdssbdestsearch,-37.8517332,144.9913415,Talks/Workshops
Becoming Her: Reignite. Reinvent. Rise.,2025-07-03,19:00,Prince Alfred Richmond,"619 Church Street Richmond, VIC 3121Get directions",https://www.eventbrite.com/e/becoming-her-reignite-reinvent-rise-tickets-1422692644999?aff=ebdssbdestsearch,-37.8324749,144.996906,Business/Networking
Radical Women of Cycling: Melbourne [Couch Chats],2025-07-03,18:00,MAAP LaB Melbourne,"33 Wellington Street Collingwood, VIC 3066Get directions",https://www.eventbrite.com.au/e/radical-women-of-cycling-melbourne-couch-chats-tickets-1388826640869?aff=ebdssbdestsearch,-37.807412,144.9857314,Talks/Workshops
Paint n Sip in Melbourne | Midnight Glow,2025-07-03,18:30,Ladder Art Space,"4/81 Denmark St Kew, VIC 3101",https://www.eventbrite.com.au/e/paint-n-sip-in-melbourne-midnight-glow-tickets-130845647855?aff=ebdssbdestsearch,-37.8089958,145.0285779,Art
ASSCR VIC EMCR Symposium,2025-07-03,09:00,Learning and Teaching Building,"19 Ancora Imparo Way Clayton, VIC 3168",https://www.eventbrite.com.au/e/asscr-vic-emcr-symposium-tickets-1289072192629?aff=ebdssbdestsearch,-37.9139139,145.1325609,Talks/Workshops
Melbourne Lesbian Singles Night | MyCheekyGayDate | Lesbian Speed Dating,2025-07-03,19:00,The Metropolitan Hotel,"265 William Street Melbourne, VIC 3000",https://www.eventbrite.com/e/melbourne-lesbian-singles-night-mycheekygaydate-lesbian-speed-dating-tickets-1392611310919?aff=ebdssbdestsearch,-37.812902,144.9566615,Social/Dating
Responding to emotions in cancer workshop #1,2025-07-03,09:00,Victorian Comprehensive Cancer Centre,"Level 13, Meeting Room 1 305 Grattan St Melbourne, VIC 3000",https://www.eventbrite.com.au/e/responding-to-emotions-in-cancer-workshop-1-tickets-1329323114219?aff=ebdssbdestsearch,-37.800197,144.9567095,Talks/Workshops
Working with relational trauma: Adult Exploration of Attachment Interview,2025-07-03,09:30,Elie - 27 Royal Parade Parkville (Gestalt Centre Training Campus),"27 Royal Parade Parkville, VIC 3052",https://www.eventbrite.com.au/e/working-with-relational-trauma-adult-exploration-of-attachment-interview-tickets-1066273746479?aff=ebdssbdestsearch,-37.7962081,144.9574069,Talks/Workshops
Camberwell Business Club,2025-07-03,13:00,Deco Cafe,"Level 1, 211 Camberwell Road [Opposite The Rivoli Cinemas] Camberwell, VIC 3124Get directions",https://www.eventbrite.com.au/e/camberwell-business-club-tickets-482212208697?aff=ebdssbdestsearch,-37.8303762,145.0560239,Business/Networking
Sound Bath Meditation in an Art Gallery,2025-07-03,18:00,Artful Yoga Gallery,"1 Vale Street St Kilda, VIC 3182",https://www.eventbrite.com.au/e/sound-bath-meditation-in-an-art-gallery-tickets-1301630294249?aff=ebdssbdestsearch,-37.8661713,144.9817611,Talks/Workshops
Fresh Networking  Hawthorn - Guest Registration,2025-07-03,07:30,Now & Then Cafe kew,"204 High Street Kew, VIC 3101",https://www.eventbrite.com.au/e/fresh-networking-hawthorn-guest-registration-tickets-105198467448?aff=ebdssbdestsearch,-37.806456,145.0322634,Business/Networking
SILSDA VICTORIA MAXIMISING SIL IMPACT CONFERENCE,2025-07-03,08:30,RACV City Club,"501 Bourke Street Melbourne, VIC 3000Get directions",https://www.eventbrite.com.au/e/silsda-victoria-maximising-sil-impact-conference-tickets-1423081829059?aff=ebdssbdestsearch,-37.8158734,144.9596569,Talks/Workshops
Who Killed Anna Key?,2025-07-03,19:00,The Butterfly Club,"5 Carson Place Melbourne, VIC 3000",https://www.eventbrite.co.uk/e/who-killed-anna-key-tickets-1329354558269?aff=ebdssbdestsearch,-37.8154472,144.9652725,Theatre
